case index 1 = {
los index, 0
num freq, 1298
num column, 15
Freq,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
[cm-1],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
2805, 0.68663, 4.1422e-09, 1.54932e-09, 1.86873e-08, 9.47598e-10, 9.94809e-10, 1.431e-08, 1.30477e-08, 4.06312e-08, 8.20471e-07, 1.69505e-06, 0.37596, 0.939041, 1.69505e-06, 301.626
2820, 0.637488, 4.66245e-09, 1.37644e-09, 1.63774e-08, 7.9689e-10, 9.21249e-10, 1.26167e-08, 1.14839e-08, 3.67511e-08, 7.18556e-07, 1.71144e-06, 0.45022, 0.938738, 1.71144e-06, 300.624
2835, 0.722576, 3.28434e-09, 1.36163e-09, 1.75215e-08, 1.05302e-09, 1.07347e-09, 1.56983e-08, 1.43574e-08, 3.99922e-08, 8.9397e-07, 1.72917e-06, 0.324932, 0.938437, 1.72917e-06, 303.767
2850, 0.760811, 2.63193e-09, 1.31583e-09, 1.74118e-08, 1.19432e-09, 1.15736e-09, 1.75072e-08, 1.60565e-08, 4.12185e-08, 9.94966e-07, 1.74744e-06, 0.273371, 0.93814, 1.74744e-06, 305.702
2865, 0.755561, 2.36781e-09, 1.22013e-09, 1.63229e-08, 1.18419e-09, 1.13748e-09, 1.7287e-08, 1.58652e-08, 3.95195e-08, 9.82411e-07, 1.76607e-06, 0.280295, 0.938096, 1.76607e-06, 305.991
2880, 0.716523, 2.42048e-09, 1.14018e-09, 1.46146e-08, 1.09192e-09, 1.07172e-09, 1.61453e-08, 1.48521e-08, 3.64842e-08, 9.22387e-07, 1.78978e-06, 0.333345, 0.938278, 1.78978e-06, 305.426
2895, 0.703413, 2.41964e-09, 1.17312e-09, 1.35444e-08, 1.13413e-09, 1.09539e-09, 1.63826e-08, 1.51254e-08, 3.57492e-08, 9.42103e-07, 1.80582e-06, 0.351811, 0.938458, 1.80582e-06, 306.206
2910, 0.66561, 2.60609e-09, 1.11936e-09, 1.20984e-08, 1.03858e-09, 1.05341e-09, 1.53356e-08, 1.419e-08, 3.32514e-08, 8.86405e-07, 1.82418e-06, 0.407051, 0.938636, 1.82418e-06, 305.815
2925, 0.661663, 2.34559e-09, 1.0863e-09, 1.13518e-08, 1.06318e-09, 1.04418e-09, 1.51023e-08, 1.39809e-08, 3.19933e-08, 8.7586e-07, 1.84113e-06, 0.412999, 0.938812, 1.84113e-06, 306.184
2940, 0.523533, 3.60526e-09, 8.60733e-10, 8.47733e-09, 5.8585e-10, 8.53694e-10, 1.04794e-08, 9.70752e-09, 2.48622e-08, 6.09884e-07, 1.8566e-06, 0.647154, 0.938986, 1.8566e-06, 301.879
2955, 0.475647, 3.46831e-09, 7.74003e-10, 7.26861e-09, 4.79314e-10, 7.71294e-10, 9.10671e-09, 8.45477e-09, 2.18682e-08, 5.32686e-07, 1.87394e-06, 0.743079, 0.939159, 1.87394e-06, 300.341
2970, 0.340511, 4.61277e-09, 5.33764e-10, 4.91038e-09, 1.97355e-10, 6.01391e-10, 5.11252e-09, 4.71712e-09, 1.59682e-08, 2.98036e-07, 1.89159e-06, 1.07731, 0.93933, 1.89159e-06, 294.996
2985, 0.211519, 4.74944e-09, 3.45921e-10, 2.87817e-09, 6.32022e-11, 4.11795e-10, 2.4685e-09, 2.26317e-09, 1.0917e-08, 1.43391e-07, 1.90953e-06, 1.55344, 0.939499, 1.90953e-06, 288.608
3000, 0.318508, 4.34381e-09, 4.36873e-10, 4.08918e-09, 1.64157e-10, 5.86583e-10, 4.46274e-09, 4.12594e-09, 1.40833e-08, 2.62139e-07, 1.9259e-06, 1.14411, 0.939667, 1.9259e-06, 294.806
3015, 0.0494551, 2.76204e-09, 9.3026e-11, 5.99024e-10, 2.69307e-12, 1.05686e-10, 2.52571e-10, 2.16242e-10, 3.81504e-09, 1.37766e-08, 1.9432e-06, 3.00669, 0.939833, 1.9432e-06, 271.76
